手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
小米 小米 Max 3,6900,,2018/08,22.0,Snapdragon 636,22.9,4 GB,64 GB,microSD,256 GB,5500 mAh,6.9 inch,2160x1080 pixels,350 ppi,,1200 萬畫素,1.9,221 g,,Yes,https://www.sogi.com.tw/products/xiaomi_max_3/14033
koobee K10,6990,,2018/10,20.0,MT6750,,3 GB,64 GB,microSD,128 GB,3300 mAh,6.2 inch,1512x720 pixels,270 ppi,,1300 萬畫素,2.2,177.7 g,,Yes,https://www.sogi.com.tw/products/koobee_k10/14078
SAMSUNG Galaxy A21s,6990,,2020/06,0.0,Exynos 850,,4 GB,64 GB,microSD,512 GB,5000 mAh,6.5 inch,1600x720 pixels,270 ppi,LCD,4800 萬畫素,2.0,192 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a21s/15411
OPPO R11s,6990,4400.0,2017/12,30.0,Snapdragon 660,29.3,4 GB,64 GB,microSD,256 GB,3205 mAh,6.01 inch,2160x1080 pixels,402 ppi,AMOLED,2000 萬畫素,1.7,153 g,,Yes,https://www.sogi.com.tw/products/oppo_r11s/13597
koobee K20,6990,,2019/05,13.0,MT6762,,4 GB,64 GB,microSD,128 GB,4050 mAh,6.2 inch,1520x720 pixels,271 ppi,IPS,1300 萬畫素,2.0,165 g,,Yes,https://www.sogi.com.tw/products/koobee_k20/14786
realme XT,7150,6300.0,2019/10,8.0,Snapdragon 712,,8 GB,128 GB,microSD,256 GB,4000 mAh,6.4 inch,2340x1080 pixels,403 ppi,Super AMOLED,6400 萬畫素,1.8,183 g,,Yes,https://www.sogi.com.tw/products/realme_xt/15176
SAMSUNG Galaxy A31,7300,,2020/05,1.0,Helio P65,,6 GB,128 GB,microSD,512 GB,5000 mAh,6.4 inch,2400x1080 pixels,411 ppi,Super AMOLED,4800 萬畫素,2.0,185 g,,Yes,https://www.sogi.com.tw/products/samsung_galaxy_a31/15355
小米 紅米 Note 8 Pro 128GB,7490,,2019/10,8.0,Helio G90T,,6 GB,128 GB,microSD,256 GB,4500 mAh,6.53 inch,2340x1080 pixels,395 ppi,IPS,6400 萬畫素,1.89,199.8 g,,Yes,https://www.sogi.com.tw/products/xiaomi_redmi_note_8_pro/15104
OPPO R17,7500,6094.0,2018/11,19.0,Snapdragon 670,,6 GB,128 GB,,,3500 mAh,6.4 inch,2340x1080 pixels,403 ppi,AMOLED,1600 萬畫素,1.7,182 g,,Yes,https://www.sogi.com.tw/products/oppo_r17/14076
vivo Y50 (6GB/128GB),7500,,,,Snapdragon 665,27.6,6 GB,128 GB,microSD,256 GB,5000 mAh,6.53 inch,2340x1080,4 ppi,LCD,1300 萬畫素,2.2,197 g,,Yes,https://www.sogi.com.tw/products/vivo_y50/15412
