手機型號,空機價格,二手價格,上市日期,經過的月份數,處理器型號,分數,RAM記憶體,ROM儲存空間,記憶卡,最大擴充儲存空間,電池容量,主螢幕尺寸,主螢幕解析度,主螢幕像素密度,主螢幕材質,主相機畫素,主相機光圈F,機身重量,防水防塵等級,3.5mm耳機孔,鏈結
Apple iPhone 11 Pro 64GB,30690,27567.0,2019/09,9.0,A13 Bionic,124.1,,64 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15157
Apple iPhone 11 Pro Max 64GB,34000,31400.0,2019/09,9.0,A13 Bionic,124.1,,64 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15159
Apple iPhone 11 Pro 256GB,35800,32700.0,2019/09,9.0,A13 Bionic,124.1,,256 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15156
Apple iPhone 11 Pro Max 256GB,38800,36100.0,2019/09,9.0,A13 Bionic,124.1,,256 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15158
Apple iPhone 11 Pro 512GB,40500,41000.0,2019/09,9.0,A13 Bionic,124.1,,512 GB,,,,5.8 inch,2436x1125 pixels,463 ppi,OLED,1200 萬畫素,1.8,188 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro/15153
Apple iPhone 11 64GB,21600,19399.0,2019/09,9.0,A13 Bionic,124.1,,64 GB,,,,6.1 inch,1792x828 pixels,324 ppi,IPS,1200 萬畫素,1.8,194 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11/15162
Apple iPhone 11 Pro Max 512GB,44300,38500.0,2019/09,9.0,A13 Bionic,124.1,,512 GB,,,,6.5 inch,2688x1242 pixels,456 ppi,OLED,1200 萬畫素,1.8,226 g,IP68,,https://www.sogi.com.tw/products/apple_iphone_11_pro_max/15154
HUAWEI Y9 Prime 2019,5790,4900.0,2019/09,9.0,Kirin 710,,4 GB,128 GB,microSD,512 GB,4000 mAh,6.59 inch,2340x1080 pixels,391 ppi,LTPS,1600 萬畫素,1.8,196.8 g,,Yes,https://www.sogi.com.tw/products/huawei_y9_prime_2019/14846
SAMSUNG Galaxy Note 10+ 512GB,32000,,2019/08,10.0,Snapdragon 855,80.4,12 GB,512 GB,microSD,1 TB,4300 mAh,6.8 inch,3040x1440 pixels,495 ppi,Dynamic AMOLED,1200 萬畫素,1.5,196 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10_plus/15042
ASUS ZenFone 6 Edition 30 ZS630KL,18620,,2019/08,10.0,Snapdragon 855,80.4,12 GB,512 GB,microSD,2 TB,5000 mAh,6.4 inch,2340x1080 pixels,403 ppi,IPS,4800 萬畫素,1.79,190 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_6_edition_30/14873
SHARP AQUOS R3,16990,18500.0,2019/08,10.0,Snapdragon 855,80.4,6 GB,128 GB,microSD,512 GB,3200 mAh,6.2 inch,3120x1440 pixels,554 ppi,Pro IGZO,1220 萬畫素,1.7,185 g,IP68,Yes,https://www.sogi.com.tw/products/sharp_aquos_r3/14811
SAMSUNG Galaxy Note 10,22600,19082.0,2019/08,10.0,Snapdragon 855,80.4,8 GB,256 GB,,,3500 mAh,6.3 inch,2280x1080 pixels,400 ppi,Dynamic AMOLED,1200 萬畫素,1.5,168 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10/15038
SUGAR P11,3200,,2019/08,10.0,SC9863A,14.3,3 GB,32 GB,microSD,128 GB,4000 mAh,6 inch,1440x720 pixels,268 ppi,IPS,1300 萬畫素,2.0,184 g,,Yes,https://www.sogi.com.tw/products/sugar_p11/15002
SAMSUNG Galaxy Note 10+ 256GB,25100,20835.0,2019/08,10.0,Snapdragon 855,80.4,12 GB,256 GB,microSD,1 TB,4300 mAh,6.8 inch,3040x1440 pixels,495 ppi,Dynamic AMOLED,1200 萬畫素,1.5,196 g,IP68,,https://www.sogi.com.tw/products/samsung_galaxy_note_10_plus/15039
ASUS ZenFone Max Pro 2019 ZB602KL,3450,,2019/08,10.0,Snapdragon 636,22.9,3 GB,32 GB,microSD,2 TB,5000 mAh,6 inch,2160x1080 pixels,,IPS,1300 萬畫素,2.0,180 g,,Yes,https://www.sogi.com.tw/products/asus_zenfone_max_pro_2019/15061
vivo S1,5990,5400.0,2019/08,10.0,Helio P65,,6 GB,128 GB,microSD,256 GB,4500 mAh,6.38 inch,2340x1080 pixels,404 ppi,Super AMOLED,1600 萬畫素,1.78,179 g,,Yes,https://www.sogi.com.tw/products/vivo_s1/14707
vivo Y17,4490,3700.0,2019/07,11.0,Helio P35,,4 GB,128 GB,microSD,256 GB,5000 mAh,6.35 inch,1544x720 pixels,268 ppi,LCD,1300 萬畫素,2.2,190.5 g,,Yes,https://www.sogi.com.tw/products/vivo_y17/14750
